,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
186,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.23195886611938477, 0.2485029697418213]","[2.0, 2.0]","[0.28182506561279297, 0.5486977100372314]","[0.0, 0.0]",0.0,0.0,5.582813262939453,1634401451.4898188,1,-1,0,-1,0.8,0.0,15,12,0,187,"[0, 0]","[0, 0]","[0, 0]","[2, 2]","[2, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2, 2]","[2, 2]","[0, 0]",1NR,1NR,35.0,1
187,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.0, 0.4327387809753418]","[2.0, 1.0]","[0.24941778182983398, 0.6819908618927002]","[0.0, 0.0]",0.0,0.0,5.850529909133911,1634401458.722187,0,-1,1,-1,0.9333333333333332,0.0,15,14,0,188,"[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",2NR,2NR,36.0,2
188,"[1.0, 1.0]",1.0,1.0,1.0,"[1.8146591186523438, 0.34812211990356445]","[1.0, 1.0]","[1.9480080604553223, 0.7481710910797119]","[1.0, 1.0]",1.0,1.0,4.099684953689575,1634401467.572839,0,1,1,1,0.875,1.0,8,7,0,189,"[0, 0]","[0, 0]","[0, 0]","[12, 4]","[0, 0]","[12, 4]","[0, 0]","[0, 0]","[0, 0]","[12, 4]","[0, 0]","[12, 4]",1R,1R,0.0,3
189,"[1.0, 1.0]",1.0,1.0,1.0,"[0.03138113021850586, 0.28103089332580566]","[1.0, 3.0]","[0.29776525497436523, 0.6305050849914551]","[1.0, 1.0]",1.0,1.0,3.533821821212769,1634401473.355432,0,1,1,1,0.8,1.0,5,4,0,190,"[0, 0]","[0, 0]","[0, 0]","[11, 3]","[0, 0]","[11, 3]","[0, 0]","[0, 0]","[0, 0]","[11, 3]","[0, 0]","[11, 3]",1R,1R,1.0,4
190,"[1.0, 1.0]",1.0,1.0,1.0,"[0.3667638301849365, 0.20006179809570312]","[4.0, 3.0]","[1.1168251037597656, 0.5998919010162354]","[1.0, 1.0]",1.0,1.0,5.848540782928467,1634401478.9229782,0,1,1,1,0.7333333333333333,0.0,15,11,0,191,"[0, 0]","[0, 0]","[0, 0]","[10, 2]","[0, 0]","[10, 2]","[0, 0]","[0, 0]","[0, 0]","[10, 2]","[0, 0]","[10, 2]",1NR,1NR,2.0,5
191,"[1.0, 1.0]",1.0,1.0,1.0,"[0.01596999168395996, 0.24890899658203125]","[3.0, 1.0]","[0.24890899658203125, 0.5989561080932617]","[1.0, 1.0]",1.0,1.0,5.8495917320251465,1634401486.4893582,0,1,1,1,0.8,0.0,15,12,0,192,"[0, 1]","[0, 0]","[0, 1]","[9, 1]","[0, 0]","[9, 1]","[0, 1]","[0, 0]","[0, 1]","[9, 1]","[0, 0]","[9, 1]",2NR,2NR,3.0,6
192,"[1.0, -1.0]",1.0,-1.0,1.0,"[0.0, 1.4815700054168701]","[3.0, 1.0]","[0.2654399871826172, 2.465590000152588]","[1.0, 0.0]",1.0,0.0,5.49958610534668,1634401495.9557729,1,-1,0,1,0.6,1.0,15,9,0,193,"[0, 1]","[0, 1]","[0, 0]","[8, 1]","[0, 1]","[8, 0]","[0, 0]","[0, 0]","[0, 0]","[8, 8]","[0, 0]","[8, 8]",1R,1R,4.0,7
193,"[1.0, 1.0]",1.0,1.0,1.0,"[0.3148927688598633, 0.2148737907409668]","[2.0, 2.0]","[1.1318857669830322, 0.6474277973175049]","[1.0, 1.0]",1.0,1.0,4.715242147445679,1634401503.7227058,1,1,0,1,0.7272727272727273,1.0,11,8,0,194,"[0, 0]","[0, 0]","[0, 0]","[7, 7]","[0, 0]","[7, 7]","[0, 0]","[0, 0]","[0, 0]","[7, 7]","[0, 0]","[7, 7]",1R,1R,5.0,8
194,"[1.0, 1.0]",1.0,1.0,1.0,"[0.08305001258850098, 0.38167500495910645]","[2.0, 2.0]","[0.09974408149719238, 1.299259901046753]","[1.0, 1.0]",1.0,1.0,3.499549388885498,1634401510.9723678,0,1,1,1,0.8,1.0,5,4,0,195,"[0, 0]","[0, 0]","[0, 0]","[6, 6]","[0, 0]","[6, 6]","[0, 0]","[0, 0]","[0, 0]","[6, 6]","[0, 0]","[6, 6]",1R,1R,6.0,9
195,"[1.0, 1.0]",1.0,1.0,1.0,"[0.1337599754333496, 0.8504116535186768]","[2.0, 3.0]","[0.31627607345581055, 1.3671958446502686]","[1.0, 1.0]",1.0,1.0,5.482002019882202,1634401516.622561,1,1,0,1,0.7333333333333333,1.0,15,11,0,196,"[0, 0]","[0, 0]","[0, 0]","[5, 5]","[0, 0]","[5, 5]","[0, 0]","[0, 0]","[0, 0]","[5, 5]","[0, 0]","[5, 5]",1R,1R,7.0,10
196,"[1.0, 1.0]",1.0,1.0,1.0,"[0.16477012634277344, 0.21469902992248535]","[2.0, 2.0]","[1.715219259262085, 0.5151710510253906]","[1.0, 1.0]",1.0,1.0,5.582963943481445,1634401525.0722282,1,1,0,1,0.5333333333333333,0.0,15,8,0,197,"[0, 0]","[0, 0]","[0, 0]","[4, 4]","[0, 0]","[4, 4]","[0, 0]","[0, 0]","[0, 0]","[4, 4]","[0, 0]","[4, 4]",1NR,1NR,8.0,11
197,"[1.0, 1.0]",1.0,1.0,1.0,"[0.19884800910949707, 0.4974861145019531]","[1.0, 1.0]","[0.43126988410949707, 2.2976720333099365]","[1.0, 1.0]",1.0,1.0,2.900491952896118,1634401534.25459,0,1,1,1,1.0,1.0,2,2,0,198,"[0, 0]","[0, 0]","[0, 0]","[3, 3]","[0, 0]","[3, 3]","[0, 0]","[0, 0]","[0, 0]","[3, 3]","[0, 0]","[3, 3]",1R,1R,9.0,12
198,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.41627025604248047, 0.4000120162963867]","[1.0, 1.0]","[0.6165521144866943, 0.7998871803283691]","[0.0, 0.0]",0.0,0.0,5.849594831466675,1634401538.838638,0,1,1,1,0.6,0.0,15,9,0,199,"[0, 0]","[0, 0]","[0, 0]","[2, 2]","[0, 0]","[2, 2]","[0, 0]","[0, 0]","[0, 0]","[2, 2]","[0, 0]","[2, 2]",1NR,1NR,10.0,1
199,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.10000896453857422, 0.533437967300415]","[1.0, 1.0]","[0.6831610202789307, 1.016300916671753]","[0.0, 0.0]",0.0,0.0,5.849862098693848,1634401546.65512,0,1,1,1,0.7333333333333333,0.0,15,11,0,200,"[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",2NR,2NR,11.0,2
200,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.4655590057373047, 0.4822671413421631]","[1.0, 1.0]","[0.9322962760925293, 0.7490432262420654]","[1.0, 1.0]",1.0,1.0,5.582716941833496,1634401554.67178,1,-1,0,-1,0.9333333333333332,0.0,15,14,0,201,"[0, 1]","[0, 1]","[0, 0]","[10, 1]","[10, 1]","[0, 0]","[0, 1]","[0, 1]","[0, 0]","[2, 1]","[0, 1]","[2, 0]",1NRO,3NR,12.0,3
201,"[-1.0, 1.0]",-1.0,1.0,-1.0,"[0.2653779983520508, 0.2820580005645752]","[1.0, 1.0]","[0.5311579704284668, 0.4985809326171875]","[1.0, 0.0]",1.0,0.0,5.850360155105591,1634401561.854337,0,-1,1,1,0.9333333333333332,0.0,15,14,0,202,"[0, 1]","[0, 0]","[0, 1]","[9, 1]","[9, 0]","[0, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",1NRG,4NR,13.0,4
202,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.36516904830932617, 1.5483152866363525]","[1.0, 1.0]","[2.5149331092834473, 1.8982882499694824]","[1.0, 1.0]",1.0,1.0,5.848907947540283,1634401571.438271,0,-1,1,-1,0.6,0.0,15,9,0,203,"[0, 0]","[0, 0]","[0, 0]","[8, 10]","[8, 10]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[8, 9]","[8, 0]","[0, 9]",1NRO,5NR,14.0,5
203,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.43192315101623535, 0.5646271705627441]","[1.0, 1.0]","[2.2984511852264404, 1.5647013187408447]","[1.0, 1.0]",1.0,1.0,5.099158048629761,1634401580.821923,0,-1,1,-1,0.6153846153846154,1.0,13,8,0,204,"[0, 0]","[0, 0]","[0, 0]","[7, 9]","[7, 9]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[7, 8]","[7, 0]","[0, 8]",1R,1R,0.0,6
204,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.36522698402404785, 0.4643990993499756]","[4.0, 1.0]","[1.714911937713623, 1.198646068572998]","[1.0, 1.0]",1.0,1.0,5.0998053550720215,1634401588.8379068,1,-1,0,-1,0.6923076923076923,1.0,13,9,0,205,"[0, 0]","[0, 0]","[0, 0]","[6, 8]","[6, 8]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[6, 7]","[6, 0]","[0, 7]",1R,1R,1.0,7
