,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
305,1R,Low,3.0,3.0,0.0,0.0,self,0.9826228618621826,1.0,9.0,439.0,Lalo,20230403
306,1R,Med,9.0,9.0,0.0,0.0,self,0.9837281703948975,1.0,10.0,440.0,Lalo,20230403
307,1R,Low,3.0,3.0,0.0,0.0,self,0.982924222946167,1.0,12.0,442.0,Lalo,20230403
308,1R,Low,4.0,4.0,0.0,1.0,self,1.1164469718933105,-1.0,13.0,443.0,Lalo,20230403
309,1R,Low,1.0,1.0,0.0,0.0,self,1.032977819442749,1.0,0.0,445.0,Lalo,20230403
310,1R,Low,3.0,3.0,0.0,0.0,self,1.032900094985962,1.0,1.0,446.0,Lalo,20230403
311,1R,Low,3.0,3.0,0.0,0.0,self,1.5350940227508545,1.0,2.0,447.0,Lalo,20230403
312,1R,Low,1.0,1.0,0.0,0.0,self,1.4163620471954346,1.0,3.0,448.0,Lalo,20230403
313,1R,Low,2.0,2.0,0.0,0.0,self,1.099283218383789,1.0,4.0,449.0,Lalo,20230403
314,1R,Low,3.0,3.0,0.0,0.0,self,1.3161888122558594,1.0,5.0,450.0,Lalo,20230403
315,1R,Low,3.0,3.0,0.0,0.0,self,1.0164198875427246,1.0,6.0,451.0,Lalo,20230403
316,1R,Low,2.0,2.0,0.0,0.0,self,1.0163161754608154,1.0,7.0,452.0,Lalo,20230403
317,1R,Low,1.0,1.0,0.0,0.0,self,2.4496920108795166,1.0,8.0,453.0,Lalo,20230403
318,1R,Low,1.0,1.0,0.0,0.0,self,1.0162880420684814,1.0,9.0,454.0,Lalo,20230403
319,1R,Med,9.0,9.0,0.0,0.0,self,1.232483148574829,1.0,0.0,457.0,Lalo,20230403
320,1R,Low,1.0,1.0,0.0,0.0,self,1.066411018371582,1.0,2.0,459.0,Lalo,20230403
321,1R,Low,2.0,2.0,0.0,0.0,self,1.0864441394805908,1.0,4.0,461.0,Lalo,20230403
322,1R,Low,4.0,4.0,0.0,0.0,self,1.0993731021881104,1.0,5.0,462.0,Lalo,20230403
323,1R,Low,7.0,7.0,0.0,0.0,self,1.049828052520752,1.0,6.0,463.0,Lalo,20230403
324,1R,Low,1.0,1.0,0.0,0.0,self,1.2497329711914062,1.0,7.0,464.0,Lalo,20230403
325,1R,Low,1.0,1.0,0.0,0.0,self,0.983342170715332,1.0,8.0,465.0,Lalo,20230403
326,1R,Low,1.0,1.0,0.0,0.0,self,1.0997059345245361,1.0,9.0,466.0,Lalo,20230403
327,1R,Low,3.0,3.0,0.0,0.0,self,1.0172569751739502,1.0,0.0,469.0,Lalo,20230403
328,1R,Low,2.0,2.0,0.0,0.0,self,0.9831991195678711,1.0,1.0,470.0,Lalo,20230403
329,1R,Low,7.0,7.0,0.0,0.0,self,1.5001909732818604,1.0,2.0,471.0,Lalo,20230403
330,1R,Low,4.0,4.0,0.0,0.0,self,1.132883071899414,1.0,6.0,475.0,Lalo,20230403
331,1R,Low,3.0,3.0,0.0,0.0,self,0.9831931591033936,1.0,7.0,476.0,Lalo,20230403
332,1R,Low,8.0,8.0,0.0,0.0,self,1.0162899494171143,1.0,8.0,477.0,Lalo,20230403
333,1R,Low,3.0,3.0,0.0,0.0,self,1.0331430435180664,1.0,9.0,478.0,Lalo,20230403
334,1R,Low,3.0,3.0,0.0,1.0,self,1.3497371673583984,-1.0,10.0,479.0,Lalo,20230403
335,1R,Low,7.0,7.0,0.0,0.0,self,1.099717140197754,1.0,0.0,481.0,Lalo,20230403
336,1R,Low,3.0,3.0,0.0,0.0,self,0.9997818470001221,1.0,1.0,482.0,Lalo,20230403
337,1R,Low,4.0,4.0,0.0,0.0,self,1.0999219417572021,1.0,4.0,485.0,Lalo,20230403
338,1R,Low,5.0,5.0,0.0,0.0,self,1.1172621250152588,1.0,5.0,486.0,Lalo,20230403
339,1R,Low,7.0,7.0,0.0,0.0,self,0.9999089241027832,1.0,7.0,488.0,Lalo,20230403
340,1R,Low,7.0,7.0,0.0,0.0,self,1.083569049835205,1.0,8.0,489.0,Lalo,20230403
