,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,other,player,player_choice,poll_probs,prop_touched_polls,reaction_time,reward,total_polls,touched_polls,trial_aborted,trial_duration
89,89,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865390.481366,217,1,0,1,0.15,0.8333333333333334,0.7332499027252197,1.0,12,10,0,7.716579914093018
90,90,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865398.4136572,175,1,0,1,0.15,0.5714285714285714,0.7339179515838623,1.0,7,4,0,5.366180181503296
91,91,[1.0],1.0,0.0,-1.0,-1.0,0.0,[-1.0],1651865403.513437,110,1,0,1,0.0,0.8,0.7333710193634033,0.0,15,12,0,7.116533994674683
92,92,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865411.5462,106,1,0,-1,0.15,0.6666666666666666,0.733104944229126,1.0,3,2,0,2.8662447929382324
93,93,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865415.12943,106,1,0,-1,0.15,0.5,0.7343049049377441,1.0,2,1,0,2.534079074859619
94,94,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865418.362475,106,1,0,-1,0.15,0.6666666666666666,0.732921838760376,1.0,3,2,0,2.8836159706115723
95,95,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865421.9621272,106,1,0,-1,0.15,0.8,0.7326409816741943,0.0,15,12,0,7.065882682800293
96,96,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865430.411998,130,1,0,-1,0.15,1.0,0.7331888675689697,1.0,2,2,0,3.0835750102996826
97,97,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865434.3950772,140,1,0,-1,0.15,1.0,0.732835054397583,1.0,2,2,0,3.2660629749298096
98,98,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865437.844554,107,1,0,-1,0.15,1.0,0.7330958843231201,0.0,15,15,0,7.066328048706055
99,99,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865445.9111412,108,1,0,-1,0.15,0.7333333333333333,0.7335848808288574,0.0,15,11,0,7.099448919296265
100,100,[1.0],1.0,0.0,-1.0,-1.0,0.0,[-1.0],1651865454.010016,109,1,0,1,0.0,0.8,0.7329690456390381,0.0,15,12,0,7.099536895751953
101,101,[1.0],1.0,0.0,-1.0,-1.0,0.0,[-1.0],1651865463.259253,179,1,0,1,0.0,0.8666666666666667,0.7334721088409424,0.0,15,13,0,8.266398906707764
102,102,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865471.42634,111,1,0,-1,0.15,0.9333333333333333,0.7329678535461426,0.0,15,14,0,7.148991823196411
103,103,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865480.524907,169,1,0,1,0.15,0.7142857142857143,0.7337150573730469,1.0,7,5,0,5.266568899154663
104,104,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865485.658506,112,1,0,1,0.15,0.9333333333333333,0.7322502136230469,0.0,15,14,0,7.148893356323242
105,105,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865493.7239192,108,1,0,1,0.15,0.6,0.7332718372344971,0.0,15,9,0,7.100082874298096
106,106,[-1.0],-1.0,0.0,1.0,-1.0,0.0,[-1.0],1651865501.823991,109,1,0,-1,0.0,0.8666666666666667,0.7330851554870605,0.0,15,13,0,7.099233865737915
107,107,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865509.872808,107,1,0,1,0.15,0.8888888888888888,0.7332470417022705,1.0,9,8,0,4.88348388671875
108,108,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865515.722882,118,1,0,1,0.15,0.6,0.7331571578979492,1.0,10,6,0,5.432840824127197
109,109,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865521.938604,115,1,0,1,0.15,1.0,0.7331268787384033,1.0,2,2,0,2.717047929763794
110,110,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865525.305314,112,1,0,1,0.15,0.5,0.7335948944091797,1.0,4,2,0,3.3168437480926514
111,111,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865529.6046941,127,1,0,1,0.15,0.9333333333333333,0.7335700988769531,0.0,15,14,0,7.399407148361206
