,Unnamed: 0,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration,history,pos_in_block,switched
58,58,58,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1664471532.4927318,106,7.066094875335693,1,0,1,0,0.0,0.9333333333333332,[0.9663488864898682],0.0,7.066094875335693,15,14,0,7.26587176322937,1NR,12.0,1.0
59,59,59,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471540.9925408,114,4.333637237548828,1,0,-1,0,0.15,0.7142857142857143,[1.0998961925506592],1.0,4.333637237548828,7,5,0,4.5333571434021,1R,0.0,1.0
60,60,60,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471546.775432,132,7.516583204269409,1,0,-1,0,0.15,0.6,[1.3996601104736328],0.0,7.516583204269409,15,9,0,7.7164411544799805,1NR,1.0,1.0
61,61,61,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1664471556.54142,188,8.432447910308838,1,0,1,0,0.0,0.5333333333333333,[2.33304500579834],0.0,8.432447910308838,15,8,0,8.632282018661499,,,
62,62,62,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471565.223721,122,2.5332999229431152,1,0,-1,0,0.15,1.0,[1.233583688735962],1.0,2.5332999229431152,1,1,0,2.7328357696533203,1R,3.0,1.0
63,63,63,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471569.207096,144,3.1831557750701904,1,0,-1,0,0.15,1.0,[1.5996530055999756],1.0,3.1831557750701904,2,2,0,3.382668972015381,1R,4.0,1.0
64,64,64,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471573.090246,119,2.466263055801392,1,0,-1,0,0.15,1.0,[1.1829209327697754],1.0,2.466263055801392,1,1,0,2.6680750846862797,1R,5.0,1.0
65,65,65,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471576.923948,136,4.716248989105225,1,0,-1,0,0.15,0.7142857142857143,[1.4669291973114014],1.0,4.716248989105225,7,5,0,4.915916919708252,1R,6.0,1.0
66,66,66,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471582.406262,112,2.667362928390503,1,0,-1,0,0.15,1.0,[1.0665688514709473],1.0,2.667362928390503,2,2,0,2.8660809993743896,1R,7.0,1.0
67,67,67,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471586.555774,136,6.049394369125366,1,0,-1,0,0.15,0.8181818181818182,[1.4663922786712646],1.0,6.049394369125366,11,9,0,6.249314069747925,1R,8.0,1.0
