,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration
474,474,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682013581.59879,111,6.96605372428894,1,0,-1,0,0.0,0.6,[1.04976487159729],0.0,6.96605372428894,15,9,0,7.965840816497803
475,475,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682013592.297977,111,7.165859937667847,1,0,-1,0,0.0,0.7333333333333333,[1.0672211647033691],0.0,7.165859937667847,15,11,0,8.165940999984741
476,476,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682013603.280517,118,7.2651519775390625,1,0,-1,0,0.0,0.6666666666666666,[1.165518045425415],0.0,7.2651519775390625,15,10,0,8.265021085739136
477,477,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1682013616.313511,241,9.332794189453125,1,0,1,0,0.0,0.5333333333333333,[3.216517210006714],0.0,9.332794189453125,15,8,0,10.332237005233765
478,478,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013627.3289118,113,5.649715900421143,1,0,-1,0,0.15,0.7272727272727273,[1.0831279754638672],1.0,5.649715900421143,11,8,0,6.650045871734619
479,479,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013637.14474,143,3.8661301136016846,1,0,-1,0,0.15,0.75,[1.5833079814910889],1.0,3.8661301136016846,4,3,0,4.865854978561401
480,480,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013644.0280478,108,6.932521820068359,1,0,-1,0,0.15,0.8666666666666667,[0.9994618892669678],0.0,6.932521820068359,15,13,0,7.932368755340576
481,481,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013655.010318,128,7.266595840454102,1,0,-1,0,0.15,0.4,[1.3332388401031494],0.0,7.266595840454102,15,6,0,8.267960786819458
482,482,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013665.892849,121,7.166654109954834,1,0,-1,0,0.15,0.7333333333333333,[1.2162089347839355],0.0,7.166654109954834,15,11,0,8.16601300239563
483,483,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1682013676.5595012,108,7.100149869918823,1,0,1,0,0.0,0.7333333333333333,[0.9999690055847168],0.0,7.100149869918823,15,11,0,8.098785877227783
484,484,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013687.5750341,120,2.8994929790496826,1,0,-1,0,0.15,0.5,[1.1997249126434326],1.0,2.8994929790496826,2,1,0,3.8997058868408203
485,485,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013693.940804,115,6.1000988483428955,1,0,-1,0,0.15,0.75,[1.1165719032287598],1.0,6.1000988483428955,12,9,0,7.0993428230285645
486,486,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013703.909739,126,4.93290114402771,1,0,-1,0,0.15,1.0,[1.2995860576629639],1.0,4.93290114402771,8,8,0,5.9325151443481445
487,487,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013712.173008,108,2.566570997238159,1,0,-1,0,0.15,0.5,[0.9999752044677734],1.0,2.566570997238159,2,1,0,3.56638503074646
488,488,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682013718.2891982,108,7.099472999572754,1,0,-1,0,0.0,0.7333333333333333,[0.999514102935791],0.0,7.099472999572754,15,11,0,8.099318027496338
489,489,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682013729.2049868,114,7.016568183898926,1,0,-1,0,0.0,0.6666666666666666,[1.0997140407562256],0.0,7.016568183898926,15,10,0,8.01593804359436
490,490,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013739.8210208,107,6.91615629196167,1,0,1,0,0.15,0.4666666666666667,[0.9830052852630615],1.0,6.91615629196167,15,7,0,7.915869951248169
491,491,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013750.4543831,107,3.9481868743896484,1,0,1,0,0.15,0.6666666666666666,[0.9816608428955078],1.0,3.9481868743896484,6,4,0,4.948083877563477
492,492,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013758.003042,107,6.565583229064941,1,0,1,0,0.15,0.7142857142857143,[0.9827582836151123],1.0,6.565583229064941,14,10,0,7.5654120445251465
493,493,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013768.285808,108,2.6494016647338867,1,0,1,0,0.15,1.0,[0.999640703201294],1.0,2.6494016647338867,2,2,0,3.6494107246398926
494,494,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013774.6194618,107,3.2497589588165283,1,0,1,0,0.15,0.5,[0.9831018447875977],1.0,3.2497589588165283,4,2,0,4.250129222869873
495,495,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013781.436182,107,6.966405153274536,1,0,1,0,0.15,0.6666666666666666,[0.9848501682281494],0.0,6.966405153274536,15,10,0,7.9664061069488525
496,496,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013792.7512908,145,6.849849700927734,1,0,1,0,0.15,0.6153846153846154,[1.6169159412384033],1.0,6.849849700927734,13,8,0,7.850782871246338
497,497,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013803.717282,170,5.33315110206604,1,0,1,0,0.15,0.2857142857142857,[2.0346498489379883],1.0,5.33315110206604,7,2,0,6.332654237747192
498,498,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013811.8334029,118,3.449720621109009,1,0,1,0,0.15,0.25,[1.1665809154510498],1.0,3.449720621109009,4,1,0,4.450432538986206
499,499,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1682013820.766017,231,9.165963649749756,1,0,1,0,0.0,0.7333333333333333,[3.0495879650115967],0.0,9.165963649749756,15,11,0,10.165623664855957
500,500,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013831.716063,112,4.982094049453735,1,0,-1,0,0.15,0.4444444444444444,[1.067626953125],1.0,4.982094049453735,9,4,0,5.982594013214111
501,501,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013840.331392,112,7.082396984100342,1,0,-1,0,0.15,0.7333333333333333,[1.0660510063171387],0.0,7.082396984100342,15,11,0,8.082290887832642
502,502,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013851.081007,109,3.6328980922698975,1,0,-1,0,0.15,0.6,[1.01633620262146],1.0,3.6328980922698975,5,3,0,4.632871866226196
503,503,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013858.813448,140,7.515783071517944,1,0,-1,0,0.15,0.5333333333333333,[1.5327911376953125],0.0,7.515783071517944,15,8,0,8.515387058258057
504,504,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013869.5800252,111,2.666717052459717,1,0,-1,0,0.15,1.0,[1.0500240325927734],1.0,2.666717052459717,2,2,0,3.6660749912261963
505,505,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013875.929133,119,3.766479969024658,1,0,-1,0,0.15,0.8,[1.1833889484405518],1.0,3.766479969024658,5,4,0,4.7661452293396
506,506,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013883.594984,138,3.0661330223083496,1,0,-1,0,0.15,0.5,[1.4997999668121338],1.0,3.0661330223083496,2,1,0,4.065825939178467
507,507,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013889.71128,107,2.266139030456543,1,0,-1,0,0.15,1.0,[0.9830920696258545],1.0,2.266139030456543,1,1,0,3.2659358978271484
508,508,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013895.56147,110,4.59950590133667,1,0,-1,0,0.15,0.25,[1.0331017971038818],1.0,4.59950590133667,8,2,0,5.599366903305054
509,509,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013903.7768488,110,4.266205310821533,1,0,-1,0,0.15,1.0,[1.033008337020874],1.0,4.266205310821533,7,7,0,5.265892267227173
510,510,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013911.7780101,116,4.066417932510376,1,0,-1,0,0.15,0.6666666666666666,[1.1498548984527588],1.0,4.066417932510376,6,4,0,5.066432952880859
511,511,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013920.242796,165,3.8662121295928955,1,0,-1,0,0.15,0.6666666666666666,[1.9500038623809814],1.0,3.8662121295928955,3,2,0,4.866441011428833
512,512,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682013927.842187,173,8.066092014312744,1,0,-1,0,0.0,0.7333333333333333,[2.083173990249634],0.0,8.066092014312744,15,11,0,9.065513134002686
513,513,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013939.007842,134,3.6664161682128906,1,0,1,0,0.15,0.5,[1.4326179027557373],1.0,3.6664161682128906,4,2,0,4.665894985198975
514,514,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013945.8242612,108,4.5988850593566895,1,0,1,0,0.15,0.625,[0.9979298114776611],1.0,4.5988850593566895,8,5,0,5.597670793533325
515,515,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013954.040415,108,2.582942008972168,1,0,1,0,0.15,1.0,[0.9997477531433105],1.0,2.582942008972168,2,2,0,3.58345890045166
516,516,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013960.257211,114,5.3996288776397705,1,0,1,0,0.15,0.6,[1.1000261306762695],1.0,5.3996288776397705,10,6,0,6.399444103240967
517,517,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013969.2390678,110,3.6327290534973145,1,0,1,0,0.15,0.8,[1.0327129364013672],1.0,3.6327290534973145,5,4,0,4.632503986358643
518,518,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013976.6887732,124,6.566051006317139,1,0,1,0,0.15,0.6923076923076923,[1.26796293258667],1.0,6.566051006317139,13,9,0,7.565993070602417
519,519,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013986.887917,120,5.766031980514526,1,0,1,0,0.15,0.45454545454545453,[1.1990079879760742],1.0,5.766031980514526,11,5,0,6.765534162521362
520,520,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013997.870878,212,8.66609001159668,1,0,1,0,0.15,0.6,[2.7329609394073486],0.0,8.66609001159668,15,9,0,9.66544508934021
521,521,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682014008.602944,110,6.949349880218506,1,0,-1,0,0.0,0.6666666666666666,[1.0331249237060547],0.0,6.949349880218506,15,10,0,7.949010848999023
522,522,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682014019.5027032,124,7.282516956329346,1,0,-1,0,0.0,0.6,[1.266263723373413],0.0,7.282516956329346,15,9,0,8.282338857650757
523,523,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682014032.418041,239,9.115907907485962,1,0,-1,0,0.0,0.6666666666666666,[3.18298602104187],0.0,9.115907907485962,15,10,0,10.115485906600952
524,524,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1682014043.150918,108,6.932837963104248,1,0,1,0,0.0,0.5333333333333333,[0.9998779296875],0.0,6.932837963104248,15,8,0,7.9324750900268555
525,525,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1682014054.98312,180,8.165832281112671,1,0,1,0,0.0,0.8,[2.1997711658477783],0.0,8.165832281112671,15,12,0,9.165849208831787
526,526,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682014065.698974,108,7.0994720458984375,1,0,-1,0,0.15,0.7333333333333333,[0.9998741149902344],0.0,7.0994720458984375,15,11,0,8.099300146102905
527,527,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682014076.498286,107,3.2497239112854004,1,0,-1,0,0.15,1.0,[0.9830138683319092],1.0,3.2497239112854004,4,4,0,4.249553918838501
528,528,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682014083.481915,117,3.082329750061035,1,0,-1,0,0.15,0.3333333333333333,[1.1493849754333496],1.0,3.082329750061035,3,1,0,4.081849098205566
529,529,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682014089.9640052,107,3.266197919845581,1,0,-1,0,0.15,0.75,[0.9828088283538818],1.0,3.266197919845581,4,3,0,4.266166687011719
530,530,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682014096.980275,118,5.066630840301514,1,0,-1,0,0.15,0.7777777777777778,[1.1663777828216553],1.0,5.066630840301514,9,7,0,6.065809726715088
531,531,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682014105.546349,110,3.2832016944885254,1,0,-1,0,0.15,0.5,[1.0330419540405273],1.0,3.2832016944885254,4,2,0,4.283290863037109
532,532,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682014112.362558,108,6.565659046173096,1,0,-1,0,0.15,0.5714285714285714,[0.9999399185180664],1.0,6.565659046173096,14,8,0,7.565325021743774
533,533,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682014123.461987,158,7.930973052978516,1,0,-1,0,0.15,0.6666666666666666,[1.831516981124878],0.0,7.930973052978516,15,10,0,8.931043863296509
534,534,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682014134.377501,112,7.032757043838501,1,0,-1,0,0.15,0.8666666666666667,[1.06640625],0.0,7.032757043838501,15,13,0,8.032455205917358
535,535,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682014145.9105248,159,6.4329307079315186,1,0,-1,0,0.15,0.5454545454545454,[1.849531888961792],1.0,6.4329307079315186,11,6,0,7.432476758956909
536,536,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682014155.842779,147,7.549296855926514,1,0,-1,0,0.0,0.7333333333333333,[1.6494598388671875],0.0,7.549296855926514,15,11,0,8.549046754837036
