,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted
411,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.015244245529174805, -1628434135.719523]","[3.0, 0.0]","[0.4982161521911621, -1628434135.719523]","[1.0, 0.0]",1.0,0.0,4.4992969036102295,1628434136.217739,1,0,0,-1,0.6428571428571429,1.0,14,9,0
412,"[-1.0, 0.0]",-1.0,0.0,1.0,"[1.9492290019989014, -1628434141.81847]","[2.0, 0.0]","[2.3155910968780518, -1628434141.81847]","[0.0, 0.0]",0.0,0.0,4.7497498989105225,1628434144.134061,1,0,0,-1,0.6666666666666666,0.0,15,10,0
413,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.29849910736083984, -1628434149.918761]","[2.0, 0.0]","[0.3985629081726074, -1628434149.918761]","[0.0, 0.0]",0.0,0.0,4.749537229537964,1628434150.317324,1,0,0,-1,0.6666666666666666,0.0,15,10,0
414,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.015633821487426758, -1628434156.001854]","[2.0, 0.0]","[0.3656461238861084, -1628434156.001854]","[0.0, 0.0]",0.0,0.0,4.749269008636475,1628434156.3675,1,0,0,-1,0.4,0.0,15,6,0
415,"[-1.0, 0.0]",-1.0,0.0,1.0,"[1.7152020931243896, -1628434162.0852349]","[2.0, 0.0]","[2.0653460025787354, -1628434162.0852349]","[0.0, 0.0]",0.0,0.0,4.7494401931762695,1628434164.150581,1,0,0,-1,0.4666666666666667,0.0,15,7,0
416,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.11634087562561035, -1628434170.184586]","[2.0, 0.0]","[0.49884796142578125, -1628434170.184586]","[0.0, 0.0]",0.0,0.0,4.749876976013184,1628434170.683434,1,0,0,-1,0.5333333333333333,0.0,15,8,0
417,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.0, -1628434176.284508]","[2.0, 0.0]","[0.46583104133605957, -1628434176.284508]","[0.0, 0.0]",0.0,0.0,4.749526023864746,1628434176.750339,1,0,0,-1,0.4666666666666667,0.0,15,7,0
418,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.11574673652648926, -1628434182.367896]","[1.0, 0.0]","[0.5148329734802246, -1628434182.367896]","[0.0, 0.0]",0.0,0.0,4.750305891036987,1628434182.882729,1,0,0,-1,0.5333333333333333,0.0,15,8,0
419,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.36620402336120605, -1628434188.434222]","[1.0, 0.0]","[0.5651679039001465, -1628434188.434222]","[0.0, 0.0]",0.0,0.0,4.750247955322266,1628434188.99939,1,0,0,-1,0.6,0.0,15,9,0
420,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.14860916137695312, -1628434194.517379]","[1.0, 0.0]","[0.7326657772064209, -1628434194.517379]","[0.0, 0.0]",0.0,0.0,4.748700380325317,1628434195.2500448,1,0,0,-1,0.8666666666666667,0.0,15,13,0
421,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.397449254989624, -1628434201.11846]","[1.0, 0.0]","[0.6482040882110596, -1628434201.11846]","[0.0, 0.0]",0.0,0.0,4.748712062835693,1628434201.766664,1,0,0,-1,0.6,0.0,15,9,0
422,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.24901676177978516, -1628434207.717487]","[1.0, 0.0]","[1.0325419902801514, -1628434207.717487]","[0.0, 0.0]",0.0,0.0,4.749352931976318,1628434208.750029,1,0,0,-1,0.8,0.0,15,12,0
423,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.34839510917663574, -1628434214.3005598]","[1.0, 0.0]","[0.5159580707550049, -1628434214.3005598]","[1.0, 0.0]",1.0,0.0,4.74938702583313,1628434214.8165178,1,0,0,-1,0.7333333333333333,0.0,15,11,0
424,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.18242311477661133, -1628434220.384011]","[1.0, 0.0]","[0.38230085372924805, -1628434220.384011]","[1.0, 0.0]",1.0,0.0,4.749495029449463,1628434220.766312,1,0,0,-1,0.5333333333333333,0.0,15,8,0
