,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
263,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.36628198623657227, 0.41535091400146484]","[4.0, 4.0]","[0.36628198623657227, 0.8493480682373047]","[1.0, 1.0]",1.0,1.0,4.882744789123535,1628722816.290594,0,-1,1,-1,0.75,1.0,12,9,0,264,"[0, 0]","[0, 0]","[0, 0]","[12, 11]","[12, 11]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[12, 11]","[12, 11]","[0, 0]",1R,1R,14.0,17
264,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.6318099498748779, 0.23210787773132324]","[4.0, 4.0]","[0.6318099498748779, 0.5157339572906494]","[1.0, 1.0]",1.0,1.0,3.550316095352173,1628722822.656416,1,-1,0,-1,0.6,1.0,5,3,0,265,"[0, 0]","[0, 0]","[0, 0]","[11, 10]","[11, 10]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[11, 10]","[11, 10]","[0, 0]",1R,1R,15.0,18
265,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.5491812229156494, 0.0]","[4.0, 4.0]","[0.5491812229156494, 0.28307509422302246]","[1.0, 1.0]",1.0,1.0,3.083052635192871,1628722827.6566012,1,-1,0,-1,1.0,1.0,3,3,0,266,"[0, 0]","[0, 0]","[0, 0]","[10, 9]","[10, 9]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[10, 9]","[10, 9]","[0, 0]",1R,1R,16.0,19
266,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.48281288146972656, 0.3827662467956543]","[4.0, 4.0]","[0.48281288146972656, 1.0661520957946777]","[1.0, 1.0]",1.0,1.0,2.8831899166107178,1628722832.756926,0,-1,1,-1,0.5,1.0,2,1,0,267,"[0, 0]","[0, 0]","[0, 0]","[9, 8]","[9, 8]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[9, 8]","[9, 8]","[0, 0]",1R,1R,17.0,20
267,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.6809060573577881, 0.016462087631225586]","[4.0, 4.0]","[0.6809060573577881, 0.34815526008605957]","[1.0, 1.0]",1.0,1.0,3.300295114517212,1628722837.4561229,0,-1,1,-1,0.25,1.0,4,1,0,268,"[0, 0]","[0, 0]","[0, 0]","[8, 7]","[8, 7]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[8, 7]","[8, 7]","[0, 0]",1R,1R,18.0,21
268,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.24741482734680176, 0.016170978546142578]","[4.0, 4.0]","[0.24741482734680176, 0.23091387748718262]","[1.0, 1.0]",1.0,1.0,5.117117166519165,1628722842.1058838,0,-1,1,-1,0.5384615384615384,1.0,13,7,0,269,"[0, 0]","[0, 0]","[0, 0]","[7, 6]","[7, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[7, 6]","[7, 6]","[0, 0]",1R,1R,19.0,22
269,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.06625890731811523, 0.39910101890563965]","[4.0, 4.0]","[0.11597895622253418, 0.8823981285095215]","[1.0, 1.0]",1.0,1.0,5.299652099609375,1628722849.339893,1,-1,0,-1,1.0,1.0,14,14,0,270,"[0, 0]","[0, 0]","[0, 0]","[6, 5]","[6, 5]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[6, 5]","[6, 5]","[0, 0]",1R,1R,20.0,23
270,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.98160719871521, 0.28289318084716797]","[3.0, 4.0]","[0.98160719871521, 0.5326681137084961]","[1.0, 1.0]",1.0,1.0,5.100658893585205,1628722856.522149,1,-1,0,-1,0.6923076923076923,1.0,13,9,0,271,"[0, 0]","[0, 0]","[0, 0]","[5, 4]","[5, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[5, 4]","[5, 4]","[0, 0]",1R,1R,21.0,24
271,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.8500809669494629, 0.01764202117919922]","[4.0, 4.0]","[0.8500809669494629, 0.41608715057373047]","[1.0, 1.0]",1.0,1.0,2.916159152984619,1628722863.456256,0,-1,1,-1,1.0,1.0,2,2,0,272,"[0, 0]","[0, 0]","[0, 0]","[4, 3]","[4, 3]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[4, 3]","[4, 3]","[0, 0]",1R,1R,22.0,25
272,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.5498528480529785, 0.24960589408874512]","[4.0, 4.0]","[0.5498528480529785, 0.4998810291290283]","[1.0, 1.0]",1.0,1.0,2.682339191436768,1628722867.756172,0,-1,1,-1,1.0,1.0,1,1,0,273,"[0, 0]","[0, 0]","[0, 0]","[3, 2]","[3, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3, 2]","[3, 2]","[0, 0]",1R,1R,23.0,26
273,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.6828949451446533, 0.016129016876220703]","[4.0, 4.0]","[0.6828949451446533, 0.28296709060668945]","[0.0, 0.0]",0.0,0.0,5.849957942962647,1628722871.972733,0,-1,1,-1,0.6666666666666666,0.0,15,10,0,274,"[0, 1]","[0, 1]","[0, 0]","[2, 1]","[2, 1]","[0, 0]","[0, 1]","[0, 1]","[0, 0]","[2, 1]","[2, 1]","[0, 0]",1NR,1NR,24.0,1
274,"[-1.0, 1.0]",-1.0,1.0,1.0,"[0.26583385467529297, 0.11620187759399414]","[3.0, 1.0]","[0.2816481590270996, 0.4323770999908447]","[0.0, 1.0]",0.0,1.0,5.583175897598267,1628722879.3059762,1,1,0,-1,0.8,0.0,15,12,0,275,"[1, 0]","[1, 0]","[0, 0]","[1, 5]","[1, 0]","[0, 5]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",2NR,2NR,25.0,2
275,"[1.0, 1.0]",1.0,1.0,1.0,"[0.864788293838501, 0.0824429988861084]","[2.0, 2.0]","[0.864788293838501, 0.3478250503540039]","[1.0, 1.0]",1.0,1.0,5.849866628646851,1628722886.8386402,0,1,1,1,0.6666666666666666,0.0,15,10,0,276,"[1, 0]","[0, 0]","[1, 0]","[1, 4]","[0, 0]","[1, 4]","[1, 0]","[0, 0]","[1, 0]","[1, 4]","[0, 0]","[1, 4]",1NRO,3NR,26.0,3
