,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
486,1R,Low,6.0,6.0,0.0,0.0,self,0.9999649524688721,1.0,8.0,680.0,Offenbach,20230314
487,1R,Med,10.0,10.0,0.0,1.0,self,1.3332819938659668,-1.0,9.0,681.0,Offenbach,20230314
488,1R,Med,9.0,9.0,0.0,0.0,self,0.9825270175933838,1.0,0.0,683.0,Offenbach,20230314
489,1R,Med,9.0,9.0,0.0,0.0,self,1.0990700721740723,1.0,1.0,684.0,Offenbach,20230314
490,1R,Low,1.0,1.0,0.0,0.0,self,1.0164978504180908,1.0,2.0,685.0,Offenbach,20230314
491,1R,Low,2.0,2.0,0.0,0.0,self,0.9828310012817383,1.0,3.0,686.0,Offenbach,20230314
492,1R,Low,3.0,3.0,0.0,0.0,self,0.9990110397338867,1.0,4.0,687.0,Offenbach,20230314
493,1R,Med,11.0,11.0,0.0,0.0,self,0.9996650218963623,1.0,5.0,688.0,Offenbach,20230314
494,1R,Low,3.0,3.0,0.0,0.0,self,1.1327340602874756,1.0,6.0,689.0,Offenbach,20230314
495,1R,Low,1.0,1.0,0.0,0.0,self,1.099750280380249,1.0,7.0,690.0,Offenbach,20230314
496,1R,Low,6.0,6.0,0.0,0.0,self,0.9823760986328125,1.0,8.0,691.0,Offenbach,20230314
497,1R,Low,7.0,7.0,0.0,0.0,self,0.9828379154205322,1.0,9.0,692.0,Offenbach,20230314
498,1R,Low,6.0,6.0,0.0,0.0,self,1.3991069793701172,1.0,10.0,693.0,Offenbach,20230314
499,1R,Low,3.0,3.0,0.0,0.0,self,1.0668680667877197,1.0,11.0,694.0,Offenbach,20230314
500,1R,Low,2.0,2.0,0.0,1.0,self,1.1010489463806152,-1.0,12.0,695.0,Offenbach,20230314
501,1R,Low,1.0,1.0,0.0,0.0,self,0.9996159076690674,1.0,0.0,697.0,Offenbach,20230314
502,1R,Low,6.0,6.0,0.0,0.0,self,0.9827208518981934,1.0,1.0,698.0,Offenbach,20230314
503,1R,Low,5.0,5.0,0.0,0.0,self,1.065932035446167,1.0,2.0,699.0,Offenbach,20230314
504,1R,Low,3.0,3.0,0.0,0.0,self,1.0329999923706055,1.0,3.0,700.0,Offenbach,20230314
505,1R,Low,5.0,5.0,0.0,0.0,self,1.048887014389038,1.0,4.0,701.0,Offenbach,20230314
506,1R,Low,1.0,1.0,0.0,0.0,self,0.9997258186340332,1.0,5.0,702.0,Offenbach,20230314
507,1R,Low,8.0,8.0,0.0,0.0,self,1.0826308727264404,1.0,6.0,703.0,Offenbach,20230314
508,1R,Med,9.0,9.0,0.0,0.0,self,0.9825711250305176,1.0,9.0,706.0,Offenbach,20230314
509,1R,Low,5.0,5.0,0.0,0.0,self,1.250187873840332,1.0,12.0,709.0,Offenbach,20230314
510,1R,Med,9.0,9.0,0.0,0.0,self,1.0995440483093262,1.0,13.0,710.0,Offenbach,20230314
511,1R,Low,5.0,5.0,0.0,1.0,self,1.099754810333252,-1.0,14.0,711.0,Offenbach,20230314
512,1R,Low,4.0,4.0,0.0,0.0,self,1.1987659931182861,1.0,0.0,713.0,Offenbach,20230314
