,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
548,1R,Low,7.0,7.0,0.0,0.0,Actor,1.016040325164795,1.0,9.0,849.0,Lalo,20230828
549,1R,Low,3.0,3.0,0.0,0.0,Actor,0.9822258949279785,1.0,10.0,850.0,Lalo,20230828
550,1R,Med,9.0,9.0,0.0,1.0,Observer,1.0502207279205322,-1.0,11.0,851.0,Lalo,20230828
551,1R,Low,6.0,6.0,0.0,0.0,Observer,0.9824950695037842,1.0,0.0,856.0,Lalo,20230828
552,1R,Low,3.0,3.0,0.0,0.0,Actor,1.016160011291504,1.0,1.0,857.0,Lalo,20230828
553,1R,Low,5.0,5.0,0.0,0.0,Actor,1.1667320728302002,1.0,2.0,858.0,Lalo,20230828
554,1R,Low,6.0,6.0,0.0,0.0,Actor,0.9999790191650391,1.0,3.0,859.0,Lalo,20230828
555,1R,Low,4.0,4.0,0.0,0.0,Observer,1.049799919128418,1.0,4.0,860.0,Lalo,20230828
556,1R,Low,2.0,2.0,0.0,0.0,Observer,1.4164018630981445,1.0,5.0,861.0,Lalo,20230828
557,1R,Low,2.0,2.0,0.0,1.0,Observer,1.032520055770874,-1.0,6.0,862.0,Lalo,20230828
558,1R,Low,4.0,4.0,0.0,0.0,Observer,1.4007883071899414,1.0,0.0,866.0,Lalo,20230828
559,1R,Low,2.0,2.0,0.0,0.0,Actor,1.0158560276031494,1.0,1.0,867.0,Lalo,20230828
560,1R,Low,8.0,8.0,0.0,0.0,Actor,1.0335400104522705,1.0,2.0,868.0,Lalo,20230828
561,1R,Low,3.0,3.0,0.0,0.0,Observer,1.0334768295288086,1.0,3.0,869.0,Lalo,20230828
562,1R,Low,3.0,3.0,0.0,0.0,Observer,0.983752965927124,1.0,4.0,870.0,Lalo,20230828
563,1R,Low,8.0,8.0,0.0,0.0,Observer,1.0168898105621338,1.0,5.0,871.0,Lalo,20230828
564,1R,Low,7.0,7.0,0.0,0.0,Actor,1.0157408714294434,1.0,6.0,872.0,Lalo,20230828
565,1R,Low,2.0,2.0,0.0,1.0,Observer,1.3332180976867676,-1.0,8.0,874.0,Lalo,20230828
566,1R,Low,3.0,3.0,0.0,0.0,Actor-incongruent,1.0327732563018799,1.0,0.0,876.0,Lalo,20230828
567,1R,Low,3.0,3.0,0.0,0.0,Actor,1.0159049034118652,1.0,1.0,877.0,Lalo,20230828
568,1R,Low,8.0,8.0,0.0,0.0,Observer,0.9996721744537354,1.0,2.0,878.0,Lalo,20230828
569,1R,Low,3.0,3.0,0.0,0.0,Observer,0.9828240871429443,1.0,3.0,879.0,Lalo,20230828
570,1R,Low,2.0,2.0,0.0,0.0,Actor,1.0159921646118164,1.0,4.0,880.0,Lalo,20230828
571,1R,Med,11.0,11.0,0.0,0.0,Observer,1.1159632205963135,1.0,5.0,881.0,Lalo,20230828
572,1R,Low,3.0,3.0,0.0,0.0,Actor,0.9995260238647461,1.0,7.0,883.0,Lalo,20230828
573,1R,Med,9.0,9.0,0.0,0.0,Observer,1.0329599380493164,1.0,0.0,887.0,Lalo,20230828
574,1R,High,12.0,12.0,0.0,0.0,Observer,1.0998306274414062,1.0,1.0,888.0,Lalo,20230828
575,1R,Low,8.0,8.0,0.0,0.0,Actor,0.9997880458831787,1.0,2.0,889.0,Lalo,20230828
576,1R,Low,4.0,4.0,0.0,0.0,Observer,1.4833557605743408,1.0,3.0,890.0,Lalo,20230828
577,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0512220859527588,1.0,4.0,891.0,Lalo,20230828
578,1R,Low,3.0,3.0,0.0,0.0,Actor-incongruent,1.0159220695495605,1.0,8.0,895.0,Lalo,20230828
579,1R,Low,6.0,6.0,0.0,0.0,Observer,0.9834938049316406,1.0,13.0,900.0,Lalo,20230828
580,1R,Low,2.0,2.0,0.0,1.0,Observer,1.0333740711212158,-1.0,15.0,902.0,Lalo,20230828
581,1R,Low,8.0,8.0,0.0,0.0,Actor,0.99971604347229,1.0,0.0,906.0,Lalo,20230828
582,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9825410842895508,1.0,1.0,907.0,Lalo,20230828
583,1R,Med,9.0,9.0,0.0,0.0,Actor,1.015589952468872,1.0,2.0,908.0,Lalo,20230828
584,1R,Low,3.0,3.0,0.0,0.0,Observer-incongruent,2.2170698642730713,1.0,5.0,911.0,Lalo,20230828
585,1R,Med,9.0,9.0,0.0,0.0,Observer,1.0160248279571533,1.0,6.0,912.0,Lalo,20230828
586,1R,High,12.0,12.0,0.0,1.0,Observer,1.1327528953552246,-1.0,7.0,913.0,Lalo,20230828
587,1R,Low,4.0,4.0,0.0,0.0,Observer,1.0504608154296875,1.0,0.0,919.0,Lalo,20230828
588,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0170629024505615,1.0,1.0,920.0,Lalo,20230828
589,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0501220226287842,1.0,2.0,921.0,Lalo,20230828
590,1R,Low,5.0,5.0,0.0,0.0,Actor,0.9828391075134277,1.0,3.0,922.0,Lalo,20230828
591,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0331778526306152,1.0,4.0,923.0,Lalo,20230828
592,1R,Low,1.0,1.0,0.0,1.0,Observer,1.1336090564727783,-1.0,5.0,924.0,Lalo,20230828
593,1R,Low,2.0,2.0,0.0,0.0,Observer,0.9994571208953857,1.0,0.0,927.0,Lalo,20230828
594,1R,High,12.0,12.0,0.0,0.0,Actor,1.1496658325195312,1.0,1.0,928.0,Lalo,20230828
595,1R,Low,6.0,6.0,0.0,0.0,Actor,1.099071979522705,1.0,2.0,929.0,Lalo,20230828
596,1R,Low,1.0,1.0,0.0,0.0,Observer,0.9822819232940674,1.0,3.0,930.0,Lalo,20230828
597,1R,Low,8.0,8.0,0.0,0.0,Actor,1.1163709163665771,1.0,4.0,931.0,Lalo,20230828
598,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0824058055877686,1.0,5.0,932.0,Lalo,20230828
599,1R,Low,8.0,8.0,0.0,0.0,Observer,1.1659562587738037,1.0,6.0,933.0,Lalo,20230828
600,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0995640754699707,1.0,8.0,935.0,Lalo,20230828
601,1R,Med,9.0,9.0,0.0,0.0,Actor,1.1498610973358154,1.0,9.0,936.0,Lalo,20230828
602,1R,Low,2.0,2.0,0.0,0.0,Observer-incongruent,0.9993069171905518,1.0,11.0,938.0,Lalo,20230828
