,trial_idx,trial_start_time,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,difficulty,trial_aborted,trial_duration,date_time,trial_num,switched_self,n_pre_switch_self,switched_actor,n_pre_switch_actor,history,alt_history,pos_in_block,pos_in_block_obj
38,38,1693242981.3013031,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693242983.151825,111,3.3162238597869877,1,0,1,1,0.15,0.5,"[0.9827988147735596, 1.0491666793823242]",1.0,3.3162238597869877,4,2,1.471791665513284,0,4.332880735397339,2023_08_28_13_16_20,39,"[0, 0]","[14, 14]","[0, 0]","[14, 14]",1R,1R,0.0,3
39,39,1693242988.4005702,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693242990.218039,109,2.250144720077514,1,0,1,1,0.15,1.0,"[0.9996647834777832, 1.0159969329833984]",1.0,2.250144720077514,1,1,1.5814423997425875,0,3.249871730804444,2023_08_28_13_16_27,40,"[0, 0]","[13, 13]","[0, 0]","[13, 13]",1R,1R,1.0,4
40,40,1693242994.20032,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693242996.0678668,112,2.6333298683166504,0,1,1,1,0.15,0.5,"[1.0661818981170654, 1.0328760147094727]",1.0,2.6333298683166504,2,1,1.9594025954685828,0,3.6333041191101074,2023_08_28_13_16_33,41,"[0, 0]","[12, 12]","[0, 0]","[12, 12]",1R,1R,2.0,5
41,41,1693243000.383391,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693243002.250476,112,6.983439207077026,1,0,1,1,0.15,0.8666666666666667,"[1.0662500858306885, 0.9994161128997803]",0.0,6.983439207077026,15,13,2.0342913609580395,0,7.981923103332519,2023_08_28_13_16_39,42,"[0, 0]","[11, 11]","[0, 0]","[11, 11]",1NR,1NR,3.0,6
42,42,1693243011.115516,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693243012.916978,108,2.233505964279175,0,1,1,1,0.15,1.0,"[0.9998061656951904, 0.9998061656951904]",1.0,2.233505964279175,1,1,1.7311998510525857,0,3.250202178955078,2023_08_28_13_16_50,43,"[0, 0]","[10, 10]","[0, 0]","[10, 10]",1R,1R,4.0,7
43,43,1693243016.9154282,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693243018.74944,110,3.6170806884765625,0,1,1,1,0.15,0.8,"[1.033099889755249, 1.033099889755249]",1.0,3.6170806884765625,5,4,1.5428353010888984,0,4.616633892059326,2023_08_28_13_16_55,44,"[0, 0]","[9, 9]","[0, 0]","[9, 9]",1R,1R,5.0,8
44,44,1693243024.1314209,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693243026.015755,113,3.316837310791016,1,0,1,1,0.15,0.5,"[1.0833852291107178, 1.0502142906188965]",1.0,3.316837310791016,4,2,1.688369178611391,0,4.317706108093262,2023_08_28_13_17_03,45,"[0, 0]","[8, 8]","[0, 0]","[8, 8]",1R,1R,6.0,9
45,45,1693243031.030921,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693243032.865521,110,6.266928195953369,0,1,1,1,0.15,0.8461538461538461,"[0.9828741550445557, 1.033087968826294]",1.0,6.266928195953369,13,11,1.7041273101318055,0,7.266005039215088,2023_08_28_13_17_09,46,"[0, 0]","[7, 7]","[0, 0]","[7, 7]",1R,1R,7.0,10
46,46,1693243041.013668,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693243042.880949,111,2.6337389945983887,1,0,1,1,0.15,0.5,"[1.01668381690979, 1.0667448043823242]",1.0,2.6337389945983887,2,1,1.681790944255606,0,3.6341300010681152,2023_08_28_13_17_19,47,"[0, 0]","[6, 6]","[0, 0]","[6, 6]",1R,1R,8.0,11
47,47,1693243047.2132108,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693243049.047546,110,4.9335243701934814,1,0,1,1,0.15,0.5555555555555556,"[0.9834780693054199, 1.033271074295044]",1.0,4.9335243701934814,9,5,1.93455987154732,0,5.933234214782715,2023_08_28_13_17_26,48,"[0, 0]","[5, 5]","[0, 0]","[5, 5]",1R,1R,9.0,12
48,48,1693243055.7794628,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693243057.597331,109,2.266569137573242,0,1,1,1,0.15,1.0,"[0.9830813407897949, 1.017024040222168]",1.0,2.266569137573242,1,1,1.6518756928268366,0,3.2662112712860107,2023_08_28_13_17_34,49,"[0, 0]","[4, 4]","[0, 0]","[4, 4]",1R,1R,10.0,13
49,49,1693243061.595731,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693243063.580201,119,4.083590984344482,1,0,1,1,0.15,1.0,"[1.1828620433807373, 1.0160479545593262]",1.0,4.083590984344482,6,6,0.9103760354815644,0,5.082809925079346,2023_08_28_13_17_40,50,"[0, 0]","[3, 3]","[0, 0]","[3, 3]",1R,1R,11.0,14
50,50,1693243069.2955542,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693243071.113191,109,2.583197832107544,1,0,1,1,0.15,1.0,"[0.9993088245391846, 1.0162768363952637]",1.0,2.583197832107544,2,2,1.0961048862555325,0,3.5826916694641118,2023_08_28_13_17_48,51,"[0, 0]","[2, 2]","[0, 0]","[2, 2]",1R,1R,12.0,15
51,51,1693243075.444177,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1693243077.262482,109,7.117670059204102,0,1,1,1,0.0,0.8,"[0.9844882488250732, 1.0172860622406006]",0.0,7.117670059204102,15,12,1.3384011778020954,0,8.11719012260437,2023_08_28_13_17_54,52,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",1NR,1NR,13.0,1
52,52,1693243086.31088,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1693243088.194797,113,7.11594295501709,1,0,-1,-1,0.15,0.6666666666666666,"[1.0824389457702637, 1.0000619888305664]",0.0,7.11594295501709,15,10,1.6584650704502255,0,8.132380962371826,2023_08_28_13_18_05,53,"[0, 0]","[11, 6]","[0, 0]","[8, 6]",1NRO,2NR,14.0,2
53,53,1693243097.193216,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1693243099.145156,117,2.383549928665161,0,1,-1,-1,0.15,1.0,"[1.1498239040374756, 1.0493059158325195]",1.0,2.383549928665161,1,1,1.457849575365988,0,3.3832828998565674,2023_08_28_13_18_16,54,"[0, 0]","[10, 5]","[0, 0]","[7, 5]",1R,1R,0.0,3
54,54,1693243103.108607,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1693243105.1935942,125,5.517265796661377,0,1,-1,-1,0.15,1.0,"[1.2834501266479492, 0.9850249290466309]",1.0,5.517265796661377,10,10,1.6907550719806668,0,6.517085790634155,2023_08_28_13_18_22,55,"[0, 0]","[9, 4]","[0, 0]","[6, 4]",1R,1R,1.0,4
55,55,1693243112.3084722,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1693243114.392941,125,5.900355815887451,1,0,-1,-1,0.15,0.8181818181818182,"[1.2832229137420654, 1.016563892364502]",1.0,5.900355815887451,11,9,1.747413669029851,0,6.900074005126953,2023_08_28_13_18_31,56,"[0, 0]","[8, 3]","[0, 0]","[5, 3]",1R,1R,2.0,5
56,56,1693243121.907988,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1693243124.20909,137,4.416992902755737,1,0,-1,-1,0.15,0.6666666666666666,"[1.4994089603424072, 1.049626111984253]",1.0,4.416992902755737,6,4,1.243039621864952,0,5.416635751724243,2023_08_28_13_18_40,57,"[0, 0]","[7, 2]","[0, 0]","[4, 2]",1R,1R,3.0,6
