,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
100,"[1.0, -1.0]",1.0,-1.0,1.0,"[1.9148499965667725, 0.2647740840911865]","[1.0, 2.0]","[2.7647721767425537, 0.6983251571655273]","[1.0, 0.0]",1.0,0.0,5.84952712059021,1632509084.0494,0,1,1,-1,0.8,0.0,15,12,0,101,"[0, 1]","[0, 1]","[0, 0]","[14, 1]","[0, 1]","[14, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",4NR,4NR,9.0,2
101,"[1.0, 1.0]",1.0,1.0,1.0,"[0.09891510009765625, 0.31524085998535156]","[2.0, 4.0]","[0.3485898971557617, 0.8152859210968018]","[1.0, 1.0]",1.0,1.0,4.082837104797363,1632509091.699293,1,1,0,1,0.875,1.0,8,7,0,102,"[0, 0]","[0, 0]","[0, 0]","[13, 13]","[0, 0]","[13, 13]","[0, 0]","[0, 0]","[0, 0]","[13, 13]","[0, 0]","[13, 13]",1R,1R,0.0,3
102,"[1.0, 1.0]",1.0,1.0,1.0,"[0.13369202613830566, 0.13369202613830566]","[4.0, 4.0]","[0.44910621643066406, 0.7333920001983643]","[1.0, 1.0]",1.0,1.0,3.0994040966033936,1632509097.69936,1,1,0,1,1.0,1.0,3,3,0,103,"[0, 0]","[0, 0]","[0, 0]","[12, 12]","[0, 0]","[12, 12]","[0, 0]","[0, 0]","[0, 0]","[12, 12]","[0, 0]","[12, 12]",1R,1R,1.0,4
103,"[1.0, 1.0]",1.0,1.0,1.0,"[0.349290132522583, 0.36617398262023926]","[4.0, 4.0]","[0.9493200778961182, 0.6827960014343262]","[1.0, 1.0]",1.0,1.0,3.699377059936523,1632509102.482599,0,1,1,1,0.8333333333333334,1.0,6,5,0,104,"[0, 0]","[0, 0]","[0, 0]","[11, 11]","[0, 0]","[11, 11]","[0, 0]","[0, 0]","[0, 0]","[11, 11]","[0, 0]","[11, 11]",1R,1R,2.0,5
104,"[1.0, 1.0]",1.0,1.0,1.0,"[1.2152891159057617, 0.2820262908935547]","[4.0, 4.0]","[2.2985291481018066, 0.5323193073272705]","[1.0, 1.0]",1.0,1.0,3.499796867370605,1632509109.432241,1,1,0,1,0.6,1.0,5,3,0,105,"[0, 0]","[0, 0]","[0, 0]","[10, 10]","[0, 0]","[10, 10]","[0, 0]","[0, 0]","[0, 0]","[10, 10]","[0, 0]","[10, 10]",1R,1R,3.0,6
105,"[1.0, 1.0]",1.0,1.0,1.0,"[0.7827620506286621, 0.38274097442626953]","[4.0, 4.0]","[1.5825538635253906, 1.0827877521514893]","[1.0, 1.0]",1.0,1.0,4.316241025924683,1632509115.282193,1,1,0,1,0.6666666666666666,1.0,9,6,0,106,"[0, 0]","[0, 0]","[0, 0]","[9, 9]","[0, 0]","[9, 9]","[0, 0]","[0, 0]","[0, 0]","[9, 9]","[0, 0]","[9, 9]",1R,1R,4.0,7
106,"[1.0, 1.0]",1.0,1.0,1.0,"[0.46500611305236816, 0.3152430057525635]","[4.0, 4.0]","[1.130737066268921, 0.6987709999084473]","[1.0, 1.0]",1.0,1.0,5.584096908569336,1632509121.931272,1,1,0,1,0.7333333333333333,0.0,15,11,0,107,"[0, 0]","[0, 0]","[0, 0]","[8, 8]","[0, 0]","[8, 8]","[0, 0]","[0, 0]","[0, 0]","[8, 8]","[0, 0]","[8, 8]",1NR,1NR,5.0,8
107,"[1.0, 1.0]",1.0,1.0,1.0,"[4.983994960784912, 0.5841720104217529]","[3.0, 3.0]","[6.017459869384766, 1.1340868473052979]","[1.0, 1.0]",1.0,1.0,5.849267959594727,1632509133.898687,0,1,1,1,0.6666666666666666,0.0,15,10,0,108,"[0, 0]","[0, 0]","[0, 0]","[7, 7]","[0, 0]","[7, 7]","[0, 0]","[0, 0]","[0, 0]","[7, 7]","[0, 0]","[7, 7]",2NR,2NR,6.0,9
108,"[1.0, 1.0]",1.0,1.0,1.0,"[0.6484558582305908, 0.5484628677368164]","[2.0, 4.0]","[1.6484510898590088, 1.3984589576721191]","[1.0, 1.0]",1.0,1.0,3.0995757579803467,1632509142.63177,0,1,1,1,1.0,1.0,3,3,0,109,"[0, 0]","[0, 0]","[0, 0]","[6, 6]","[0, 0]","[6, 6]","[0, 0]","[0, 0]","[0, 0]","[6, 6]","[0, 0]","[6, 6]",1R,1R,7.0,10
109,"[1.0, 1.0]",1.0,1.0,1.0,"[0.36623692512512207, 0.44901204109191895]","[3.0, 4.0]","[0.8823459148406982, 0.8156139850616455]","[1.0, 1.0]",1.0,1.0,2.9495608806610107,1632509147.431747,1,1,0,1,1.0,1.0,2,2,0,110,"[0, 0]","[0, 0]","[0, 0]","[5, 5]","[0, 0]","[5, 5]","[0, 0]","[0, 0]","[0, 0]","[5, 5]","[0, 0]","[5, 5]",1R,1R,8.0,11
110,"[1.0, 1.0]",1.0,1.0,1.0,"[0.28337812423706055, 0.28337812423706055]","[3.0, 4.0]","[0.7499351501464844, 0.6333920955657959]","[1.0, 1.0]",1.0,1.0,5.58292293548584,1632509151.881611,1,1,0,1,0.6,0.0,15,9,0,111,"[0, 0]","[0, 0]","[0, 0]","[4, 4]","[0, 0]","[4, 4]","[0, 0]","[0, 0]","[0, 0]","[4, 4]","[0, 0]","[4, 4]",1NR,1NR,9.0,12
111,"[1.0, 1.0]",1.0,1.0,1.0,"[1.8817989826202393, 0.481705904006958]","[2.0, 4.0]","[2.3656702041625977, 0.8316631317138672]","[1.0, 1.0]",1.0,1.0,5.582270860671997,1632509161.0987892,1,1,0,1,0.6,0.0,15,9,0,112,"[0, 0]","[0, 0]","[0, 0]","[3, 3]","[0, 0]","[3, 3]","[0, 0]","[0, 0]","[0, 0]","[3, 3]","[0, 0]","[3, 3]",2NR,2NR,10.0,13
112,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.2651698589324951, 0.29804301261901855]","[2.0, 3.0]","[1.2815349102020264, 0.7648210525512695]","[0.0, 0.0]",0.0,0.0,5.849540948867798,1632509169.114723,0,1,1,1,0.6,0.0,15,9,0,113,"[0, 0]","[0, 0]","[0, 0]","[2, 2]","[0, 0]","[2, 2]","[0, 0]","[0, 0]","[0, 0]","[2, 2]","[0, 0]","[2, 2]",3NR,3NR,11.0,1
113,"[1.0, 1.0]",1.0,1.0,-1.0,"[1.149627923965454, 0.4994688034057617]","[2.0, 2.0]","[1.8494091033935547, 0.9161679744720459]","[0.0, 0.0]",0.0,0.0,5.582990646362305,1632509177.7811892,1,1,0,1,0.8666666666666667,0.0,15,13,0,114,"[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",4NR,4NR,12.0,2
114,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.1829071044921875, 0.3826169967651367]","[2.0, 3.0]","[0.6158230304718018, 1.0490531921386719]","[1.0, 1.0]",1.0,1.0,2.899817943572998,1632509185.581134,0,-1,1,-1,1.0,1.0,2,2,0,115,"[0, 0]","[0, 0]","[0, 0]","[12, 13]","[12, 13]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[12, 13]","[12, 13]","[0, 0]",1R,1R,0.0,3
115,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.23252511024475098, 0.41577601432800293]","[4.0, 4.0]","[0.5491101741790771, 0.7824442386627197]","[1.0, 1.0]",1.0,1.0,5.5822179317474365,1632509190.414348,1,-1,0,-1,0.8,0.0,15,12,0,116,"[0, 0]","[0, 0]","[0, 0]","[11, 12]","[11, 12]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[11, 12]","[11, 12]","[0, 0]",1NR,1NR,1.0,4
116,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[1.765820026397705, 0.4150512218475342]","[4.0, 4.0]","[2.2491793632507324, 0.7659041881561279]","[1.0, 1.0]",1.0,1.0,4.749598979949951,1632509199.4809222,0,-1,1,-1,0.7272727272727273,1.0,11,8,0,117,"[0, 0]","[0, 0]","[0, 0]","[10, 11]","[10, 11]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[10, 11]","[10, 11]","[0, 0]",1R,1R,2.0,5
117,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.2820549011230469, 0.36655497550964355]","[3.0, 4.0]","[0.8828699588775635, 0.5995969772338867]","[1.0, 1.0]",1.0,1.0,4.31637978553772,1632509206.214112,1,-1,0,-1,0.5555555555555556,1.0,9,5,0,118,"[0, 0]","[0, 0]","[0, 0]","[9, 10]","[9, 10]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[9, 10]","[9, 10]","[0, 0]",1R,1R,3.0,6
118,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.0, 0.2821989059448242]","[4.0, 4.0]","[0.36559295654296875, 0.6822400093078613]","[1.0, 1.0]",1.0,1.0,5.082661867141724,1632509212.097557,1,-1,0,-1,0.7692307692307693,1.0,13,10,0,119,"[0, 0]","[0, 0]","[0, 0]","[8, 9]","[8, 9]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[8, 9]","[8, 9]","[0, 0]",1R,1R,4.0,7
119,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.19926214218139648, 0.433427095413208]","[4.0, 4.0]","[0.8833889961242676, 0.8167557716369629]","[1.0, 1.0]",1.0,1.0,5.848769903182983,1632509218.86394,0,-1,1,-1,0.6666666666666666,0.0,15,10,0,120,"[0, 0]","[0, 0]","[0, 0]","[7, 8]","[7, 8]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[7, 8]","[7, 8]","[0, 0]",1NR,1NR,5.0,8
