,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,Attention,Attention_control,Confidence,trial_idx,subject,date
537,1R,Low,1.0,1.0,1.0,0.0,Observer-incongruent,0.983396053314209,-1.0,9.0,0.3046607066995803,0.6189549535319537,0.0,840.0,Offenbach,20230210
538,1R,Low,7.0,7.0,1.0,0.0,Observer,0.9821188449859619,-1.0,0.0,0.7682601621751436,0.1513488970452103,0.0,843.0,Offenbach,20230210
539,1R,Low,8.0,8.0,1.0,0.0,Observer-incongruent,1.6497771739959717,-1.0,1.0,0.4412237405288898,0.3461613894682585,0.0,844.0,Offenbach,20230210
540,1R,Low,4.0,4.0,0.0,0.0,Actor,1.2337169647216797,1.0,3.0,1.0,0.0,0.0,846.0,Offenbach,20230210
541,1R,Low,1.0,1.0,0.0,0.0,Actor,1.3831872940063477,1.0,4.0,1.0,0.0,0.0,847.0,Offenbach,20230210
542,1R,Low,2.0,2.0,0.0,0.0,Observer,1.016709327697754,1.0,5.0,0.8826021618397476,0.0,0.0,848.0,Offenbach,20230210
543,1R,Low,4.0,4.0,0.0,0.0,Actor,1.4168798923492432,1.0,7.0,0.999727967620554,0.0,0.0,850.0,Offenbach,20230210
544,1R,Low,7.0,7.0,0.0,0.0,Observer,1.0164000988006592,1.0,8.0,0.3895283032683357,0.5152879651201674,0.0,851.0,Offenbach,20230210
545,1R,Low,3.0,3.0,0.0,0.0,Observer,0.9839982986450195,1.0,9.0,0.769210290658837,0.1274464767291887,0.0,852.0,Offenbach,20230210
546,1R,Low,6.0,6.0,0.0,0.0,Observer,1.0171949863433838,1.0,10.0,0.7315735123325634,0.2823673680154358,0.0,853.0,Offenbach,20230210
547,1R,Low,8.0,8.0,0.0,1.0,Observer,1.1331672668457031,-1.0,11.0,0.6082369579745026,0.3029946117330486,0.0,854.0,Offenbach,20230210
548,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9841890335083008,1.0,0.0,1.0,0.0,0.0,856.0,Offenbach,20230210
549,1R,Low,5.0,5.0,0.0,0.0,Actor,0.9837791919708252,1.0,2.0,0.9999350797753472,0.0,0.0,858.0,Offenbach,20230210
550,1R,Low,1.0,1.0,0.0,0.0,Observer,0.99971604347229,1.0,3.0,0.9982458440852556,0.0,0.0,859.0,Offenbach,20230210
551,1R,Med,11.0,11.0,0.0,0.0,Actor,1.5173649787902832,1.0,4.0,0.9999196213262876,0.0,0.0,860.0,Offenbach,20230210
552,1R,Low,2.0,2.0,0.0,0.0,Observer,0.983452320098877,1.0,5.0,0.5491674882264623,0.3543437840699316,0.0,861.0,Offenbach,20230210
553,1R,Low,4.0,4.0,1.0,0.0,Observer-incongruent,0.9829740524291992,-1.0,8.0,0.0686837390704849,0.6415276989620166,0.0,864.0,Offenbach,20230210
